SEXO,DT_NASCIMENTO,NACIONALIDADE_ITEM,NACIONALIDADE,CIDADE_NATURAL,ESTADO_CIVIL,CRA,BAIRRO,CIDADE,ESTADO,FORMA_INGRESSO,FORMA_EVASAO,NUM_VERSAO,PERIODO_INGRESSO,DT_EVASAO,PERIODO_EVASAO,PERIODO_EVASAO_FORMATADO,ANO_PERIODO_EVASAO,PERIODO_INGRESSO_FORMATADO,ANO_PERIODO_INGRESSO,ZONA,IDADE_INGRESSO,IDADE_EVASAO,FORMA_INGRESSO_SIMPLES,FORMA_EVASAO_DETALHADA,STATUS_EVASAO,CRA_ARREDONDADO,TEMPO_CURSO,DISTANCIA_URCA
M,1999-10-01,1,Brasileira,SAO JOAO DE MERITI,Solteiro(a),7.5265,coelho neto,rio de janeiro,Rio de Janeiro,SISU Escola Publica - Indep. de Renda,Sem evasão,2008/1,2.0,,,,,2019.2,2019.0,Zona Norte,19.0,,Cotas,Sem evasão,Cursando,7.5,,23.06
M,1977-11-01,1,Brasileira,RIO DE JANEIRO,Solteiro(a),0.8975,bento ribeiro,rio de janeiro,Rio de Janeiro,VE - Vestibular,ABA - Abandono do curso,2008/1,2.0,2011-07-15,1.0,2011.1,2011.0,2005.2,2005.0,Zona Norte,27.0,33.0,Ampla Concorrencia,ABA - Abandono do curso,Evasão,1.0,5.5,22.03
M,2000-11-01,1,Brasileira,RIO DE JANEIRO,Solteiro(a),9.1628,riachuelo,rio de janeiro,Rio de Janeiro,SISU Escola Publica - Indep. de Renda,Sem evasão,2023/2,1.0,,,,,2021.1,2021.0,Zona Norte,20.0,,Cotas,Sem evasão,Cursando,9.0,,10.6
M,2000-11-01,1,Brasileira,RIO DE JANEIRO,Solteiro(a),6.647,tijuca,rio de janeiro,Rio de Janeiro,SISU Escola Publica - Indep. de Renda,Sem evasão,2008/1,1.0,,,,,2022.1,2022.0,Zona Norte,21.0,,Cotas,Sem evasão,Cursando,6.5,,7.39
M,1991-12-01,1,Brasileira,RIO DE JANEIRO,Solteiro(a),7.2048,flamengo,rio de janeiro,Rio de Janeiro,EN - ENEM,CON - Curso concluído,2008/1,1.0,2017-03-10,1.0,2017.1,2017.0,2010.1,2010.0,Zona Sul,18.0,25.0,Ampla Concorrencia,CON - Curso concluído,Concluído,7.0,7.0,2.33
M,1999-12-01,1,Brasileira,RIO DE JANEIRO,Solteiro(a),6.8666,campo grande,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,Sem evasão,2023/2,2.0,,,,,2021.2,2021.0,Zona Oeste,21.0,,Ampla Concorrencia,Sem evasão,Cursando,7.0,,40.52
M,1987-01-02,1,Brasileira,RIO DE JANEIRO,Solteiro(a),5.2118,pechincha,rio de janeiro,Rio de Janeiro,EN - ENEM,CON - Curso concluído,2008/1,2.0,2017-08-30,2.0,2017.2,2017.0,2010.2,2010.0,Zona Oeste,23.0,30.0,Ampla Concorrencia,CON - Curso concluído,Concluído,5.0,7.0,19.22
M,1989-01-02,1,Brasileira,RIO DE JANEIRO,Solteiro(a),4.5558,maracana,rio de janeiro,Rio de Janeiro,VE - Vestibular,CON - Curso concluído,2008/1,1.0,2017-03-31,1.0,2017.1,2017.0,2006.1,2006.0,Zona Norte,16.0,27.0,Ampla Concorrencia,CON - Curso concluído,Concluído,4.5,11.0,7.97
M,1990-01-02,1,Brasileira,BELEM,Solteiro(a),3.3636,copacabana,rio de janeiro,Rio de Janeiro,VE - Vestibular,ABA - Abandono do curso,2008/1,1.0,2011-07-15,1.0,2011.1,2011.0,2009.1,2009.0,Zona Sul,18.0,20.0,Ampla Concorrencia,ABA - Abandono do curso,Evasão,3.5,2.0,2.59
F,1998-02-02,1,Brasileira,RIO DE JANEIRO,Solteiro(a),8.5705,jacarepagua,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,CON - Curso concluído,2008/1,2.0,2022-04-11,1.0,2022.1,2022.0,2016.2,2016.0,Zona Oeste,18.0,23.0,Ampla Concorrencia,CON - Curso concluído,Concluído,8.5,5.5,20.9
